date,jeniskantor,namakantor,cabanginduk,alamat,kodepos,operational_hour,telephone,fax,telex,atm,jenis,mapsurl
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Petak Baru,Gajah Mada (d/h : Asemka),Jl. Petak Baru No. 25-26,11230,Beroperasi,(021) 6922115<br />(021) 6922432<br />(021) 6912224<br />(021) 6924069<br />(021) 6901756-57<br />(021) 6917410-11,(021) 6928086,,y,atm,https://goo.gl/maps/aYkZUkzuyhu
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Mangga Dua ,Gajah Mada (d/h : Asemka),"Pusat Grosir Pasar Pagi Mangga Dua Lt. III, Blok BC 011,012,012 A & 014, Jl. Mangga Dua Raya",11110,Beroperasi,(021) 6255661<br />(021) 6127340,(021) 6127341 ,,y,atm,https://goo.gl/maps/Tv1X75w85iz
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Mangga Dua Plaza ,Gajah Mada (d/h : Asemka),Mangga Dua Plaza Blok F No. 5 Jl. Mangga Dua Raya,11110,Beroperasi,(021) 6120086<br />(021) 6120912<br />(021) 6129128<br />(021) 6129129,(021) 6129130,,y,atm,https://goo.gl/maps/AMcxFasuQ2k
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Jembatan Dua,Gajah Mada (d/h : Asemka),Jl. Jembatan Dua No. 139 A,14450,Beroperasi,(021) 6631760<br />(021) 6631761 - 62,(021) 6610615,,y,atm,https://goo.gl/maps/X2nqZAV9f382
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Muara Karang ,Gajah Mada (d/h : Asemka),"Jl. Muara Karang No. 1, RT. 019/RW. 02, Kav. Blok Y3 Barat No. 10",14450,Beroperasi,(021) 6625967-69<br />(021) 6601048,(021) 6606171 ,,y,atm,https://goo.gl/maps/Q1orC4QQNFJ2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Pluit Village,Gajah Mada (d/h : Asemka),"Pluit Village MG 8-9, Taman Tirta Loka, Jl. Pluit Permai Raya",14450,Beroperasi,(021) 6683682,(021) 6683692,,y,atm,https://goo.gl/maps/1XsrHuUyq3F2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Pantai Indah Kapuk,Gajah Mada (d/h : Asemka),"Rukan Exclusive Blok A No.27, Jl. Marina Raya, Kel. Kamal Muara, Kec. Penjaringan",14470,Beroperasi,(021) 5694 6227,(021) 5694 6227,,y,atm,https://goo.gl/maps/zAAKEaHxyM72
12-Jabodetabek-Kantor Cabang,Kantor Cabang,Green Garden,Green Garden,"Komplek Perumahan Green Garden, Blok A.7 No. 47-50, Kel. Kedoya Utara, Kec. Kebon Jeruk",11520,08.30 - 14.30,(021) 5819005<br />(021) 5802814                           ,(021) 5802776,,y,kantor,https://goo.gl/maps/Mg6L46P5jVz
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Cimone,Green Garden,"Jl. Merdeka No. 320, Kel. Cimone Jaya, Kec. Karawaci, Tangerang",15113,08.30 - 14.30,(021) 5522004,(021) 5525017 ,,y,kantor,https://goo.gl/maps/XihNJKpqTL22
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Green Ville,Green Garden,"Komplek Pertokoan Green Ville Blok BG No. 14-15, Kel. Duri Kepa, Kec. Kebon Jeruk, Jakarta Barat

",11510,08.30 - 14.30,"(021) 56957883-84<br />(021) 56957895<br />(021) 56957897 

",(021) 56957902,,y,kantor,https://goo.gl/maps/qudqRt8uWgR2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Cengkareng ,Green Garden,"Komplek Taman Palem Lestari Blok D 10 No.1, Cengkareng Barat, Jakarta Barat",11730,08.30 - 14.30,(021) 55957447<br />(021) 55957448<br />(021) 55957449,(021) 55957446,,y,kantor,https://goo.gl/maps/eXRBaH69DuM2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tangerang,Green Garden,"Jl. Ki Asnawi No. 64 C-D, Tangerang",15111,08.30 - 14.30,(021) 5523081-83-84<br />(021) 55799082-83,(021) 5523082  ,,y,kantor,https://goo.gl/maps/otCaepkfE2o
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Duta Mas,Green Garden,"Komplek Perumahan Taman Duta Mas, Blok D8 No. 1, Grogol Petamburan, Jakarta Barat",11460,08.30 - 14.30,(021) 5648262<br />(021) 5649550,(021) 5649464,,y,kantor,https://goo.gl/maps/2jpR6UmKbn92
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Teluk Gong,Green Garden,"Kompleks Duta Harapan Indah Blok G No. 10, Jl. Kapuk Muara, Jakarta Utara",14460,08.30 - 14.30,(021) 6617577 - 78<br />(021) 6622957,(021) 6612279,,y,kantor,https://goo.gl/maps/8QQ66W4Dx8y
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,BSD Golden,Green Garden,"Ruko BSD Golden Boulevard, Blok C No. 6, Jl. Pahlawan Seribu, Kel. Buaran Lengkong Karya, Kec. Serpong, Tangerang, 12-Banten-1987",15322,08.30 - 14.30,(021) 53160680<br />(021) 53160681<br />(021) 53153168<br />(021) 53153169,(021) 53153087,,y,kantor,https://goo.gl/maps/zUiBBQ1YP5P2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tanjung Duren ,Green Garden,"Jl. Tanjung Duren Raya Blok N No. 352 RT.007/RW.03, Kel. Tanjung Duren Utara, Kec. Grogol Petamburan",11470,08.30 - 14.30,(021) 5642027<br />(021) 5673950<br />(021) 56969082,(021) 5685079,,y,kantor,https://goo.gl/maps/4vMZkLBr5v62
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Puri Kencana,Green Garden,"Grand Puri Kencana, Jl. Puri Kencana Blok K7/2A, Kel. Kembangan Selatan, Kec. Kembangan                                      
",11610,08.30 - 14.30,(021) 5823602<br />(021) 5823603<br />(021) 5823604<br />(021) 5823605,(021) 581 9222,,y,kantor,https://goo.gl/maps/LWhZpNfdzsN2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Citra Garden 2,Green Garden,"Komplek Rukan Citra Niaga, Blok A No. 3, Jl. Utan Jati, Kel. Pegadungan, Kec. Kalideres",10750,08.30 - 14.30,(021) 54377025 - 31,(021) 54374621,,y,kantor,https://goo.gl/maps/TBhMBWMwMqF2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kebon Jeruk,Green Garden,"Gedung Graha Kencana, 1st floor, Jl. Raya Pejuangan No.88, Kebon Jeruk",11530,08.30 - 14.30,(021) 5350638,(021) 5350639,,y,kantor,https://goo.gl/maps/y7sqaizLd2N2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Gading Serpong,Green Garden,"Ruko Graha Boulevard Blok GBVC / 002, Jl. Boulevard Gading Serpong, Kel. Curug, Kec. Kelapa Dua, Tangerang, 12-Banten-1987",15810,08.30 - 14.30,(021) 2900 1081,(021) 2900 1071,,y,kantor,https://goo.gl/maps/qp8HbMemSsB2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Alam Sutera,Green Garden,"Jl. Jalur Sutera Kav. 29 D, No. 45, Kel. Pakualam, Kec. Serpong Utara
Kota Tangerang Selatan",15320,08.30 - 14.30,(021)3003-0524 ,(021) 3003-0525,,y,kantor,https://goo.gl/maps/7VPidJ5XXNr
12-Jabodetabek-ATM,Kantor Cabang,Green Garden,Green Garden,"Komplek Perumahan Green Garden, Blok A.7 No. 47-50, Kel. Kedoya Utara, Kec. Kebon Jeruk",11520,Beroperasi,(021) 5819005<br />(021) 5802814                           ,(021) 5802776,,y,atm,https://goo.gl/maps/Mg6L46P5jVz
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Cimone,Green Garden,"Jl. Merdeka No. 320, Kel. Cimone Jaya, Kec. Karawaci, Tangerang",15113,Beroperasi,(021) 5522004,(021) 5525017 ,,y,atm,https://goo.gl/maps/XihNJKpqTL22
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Green Ville,Green Garden,"Komplek Pertokoan Green Ville Blok BG No. 14-15, Kel. Duri Kepa, Kec. Kebon Jeruk, Jakarta Barat

",11510,Beroperasi,"(021) 56957883-84<br />(021) 56957895<br />(021) 56957897 

",(021) 56957902,,y,atm,https://goo.gl/maps/qudqRt8uWgR2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Cengkareng ,Green Garden,"Komplek Taman Palem Lestari Blok D 10 No.1, Cengkareng Barat, Jakarta Barat",11730,Beroperasi,(021) 55957447<br />(021) 55957448<br />(021) 55957449,(021) 55957446,,y,atm,https://goo.gl/maps/eXRBaH69DuM2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Tangerang,Green Garden,"Jl. Ki Asnawi No. 64 C-D, Tangerang",15111,Beroperasi,(021) 5523081-83-84<br />(021) 55799082-83,(021) 5523082  ,,y,atm,https://goo.gl/maps/otCaepkfE2o
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Duta Mas,Green Garden,"Komplek Perumahan Taman Duta Mas, Blok D8 No. 1, Grogol Petamburan, Jakarta Barat",11460,Beroperasi,(021) 5648262<br />(021) 5649550,(021) 5649464,,y,atm,https://goo.gl/maps/2jpR6UmKbn92
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Teluk Gong,Green Garden,"Kompleks Duta Harapan Indah Blok G No. 10, Jl. Kapuk Muara, Jakarta Utara",14460,Beroperasi,(021) 6617577 - 78<br />(021) 6622957,(021) 6612279,,y,atm,https://goo.gl/maps/8QQ66W4Dx8y
12-Jabodetabek-ATM,Kantor Cabang Pembantu,BSD Golden,Green Garden,"Ruko BSD Golden Boulevard, Blok C No. 6, Jl. Pahlawan Seribu, Kel. Buaran Lengkong Karya, Kec. Serpong, Tangerang, 12-Banten-1987",15322,Beroperasi,(021) 53160680<br />(021) 53160681<br />(021) 53153168<br />(021) 53153169,(021) 53153087,,y,atm,https://goo.gl/maps/zUiBBQ1YP5P2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Tanjung Duren ,Green Garden,"Jl. Tanjung Duren Raya Blok N No. 352 RT.007/RW.03, Kel. Tanjung Duren Utara, Kec. Grogol Petamburan",11470,Beroperasi,(021) 5642027<br />(021) 5673950<br />(021) 56969082,(021) 5685079,,y,atm,https://goo.gl/maps/4vMZkLBr5v62
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Puri Kencana ,Green Garden,"Grand Puri Kencana, Jl. Puri Kencana Blok K7/2A, Kel. Kembangan Selatan, Kec. Kembangan                                      
",11610,Beroperasi,(021) 5823602<br />(021) 5823603<br />(021) 5823604<br />(021) 5823605,(021) 581 9222,,y,atm,https://goo.gl/maps/LWhZpNfdzsN2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Citra Garden 2,Green Garden,"Komplek Rukan Citra Niaga, Blok A No. 3, Jl. Utan Jati, Kel. Pegadungan, Kec. Kalideres",10750,Beroperasi,(021) 54377025 - 31,(021) 54374621,,y,atm,https://goo.gl/maps/TBhMBWMwMqF2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Kebon Jeruk,Green Garden,"Gedung Graha Kencana, 1st floor, Jl. Raya Pejuangan No.88, Kebon Jeruk",11530,Beroperasi,(021) 5350638,(021) 5350639,,y,atm,https://goo.gl/maps/y7sqaizLd2N2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Gading Serpong,Green Garden,"Ruko Graha Boulevard Blok GBVC / 002, Jl. Boulevard Gading Serpong, Kel. Curug, Kec. Kelapa Dua, Tangerang, 12-Banten-1987",15810,Beroperasi,(021) 2900 1081,(021) 2900 1071,,y,atm,https://goo.gl/maps/qp8HbMemSsB2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Alam Sutera,Green Garden,"Jl. Jalur Sutera Kav. 29 D, No. 45, Kel. Pakualam, Kec. Serpong Utara
Kota Tangerang Selatan",15320,Beroperasi,(021)3003-0524 ,(021) 3003-0525,,y,atm,https://goo.gl/maps/7VPidJ5XXNr
12-Jabodetabek-Kantor Pusat,Kantor Pusat,UOB Plaza,Jakarta,"Jl. M.H. Thamrin No. 10, Kel. Kebon Melati, Kec. Tanah Abang",10230,08.30 - 14.30,(021) 23506000                                      ,(021) 29936632,,,kantor,https://goo.gl/maps/FoV4AhY4MbH2
12-Jabodetabek-Kantor Wilayah,Kantor Wilayah,Kantor Wilayah 1,Jakarta,"Gedung UOB Plaza Lantai 11, Jl. M.H. Thamrin No. 10, Kel. Kebon Melati, Kec. Tanah Abang",10230,08.30 - 14.30,(021) 23506000                                      ,(021) 29936632,,,kantor,https://goo.gl/maps/FoV4AhY4MbH2
12-Jabodetabek-Kantor Wilayah,Kantor Wilayah,Kantor Wilayah 6,Jakarta,"Kompleks Rukan Gajah, Jl. Dr. Sahardjo No.111, RT. 001, RW. 01, Persil No.12 & No.13, Kel. Tebet Barat, Kec. Tebet",12810,08.30 - 14.30,"(021) 83798666<br />(021) 83788700
",(021) 83798555,,,kantor,https://goo.gl/maps/A31Q1cPgDRx
12-Sumatera-Kantor Cabang,Kantor Cabang,Jambi,Jambi,"JL. R. Mattaher No. 34 - 35, Kel. Orang Kayo Hitam, Jambi",36113,08.30 - 14.30,(0741) 20623,(0741) 7554014,,y,kantor,https://goo.gl/maps/qbF38krsc772
12-Sumatera-ATM,Kantor Cabang,Jambi,Jambi,"JL. R. Mattaher No. 34 - 35, Kel. Orang Kayo Hitam, Jambi",36113,Beroperasi,(0741) 20623,(0741) 7554014,,y,atm,https://goo.gl/maps/qbF38krsc772
12-Jawa Timur-Kantor Cabang,Kantor Cabang,Jember,Jember,"Jl. Gajah Mada No. 68, Jember",68131,08.30 - 14.30,(0331) 484545<br />(0331) 424759<br />(0331) 424859,(0331) 484980,,y,kantor,https://goo.gl/maps/whCgh8hAKxo
12-Jawa Timur-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Ambulu ,Jember,"Jl. Suyitman No. 46, Ambulu, Jember",68172,08.30 - 14.30,(0336) 881902 ,(0336) 881902 ,,n,kantor,https://goo.gl/maps/3rdkEwLLsLH2
12-Jawa Timur-ATM,Kantor Cabang,Jember,Jember,"Jl. Gajah Mada No. 68, Jember",68131,Beroperasi,(0331) 484545<br />(0331) 424759<br />(0331) 424859,(0331) 484980,,y,atm,https://goo.gl/maps/whCgh8hAKxo
12-Jawa Timur-ATM,Kantor Cabang Pembantu,Ambulu ,Jember,"Jl. Suyitman No. 46, Ambulu, Jember",68172,Beroperasi,(0336) 881902 ,(0336) 881902 ,,n,atm,https://goo.gl/maps/3rdkEwLLsLH2
12-Jawa Timur-Kantor Cabang,Kantor Cabang,Jombang,Jombang,"Jl. Merdeka No. 133, Jombang",61413,08.30 - 14.30,(0321) 862500-01 <br />(0321) 862337<br />(0321) 874857-58,(0321) 862171,,y,kantor,https://goo.gl/maps/iNr7HwpnFMA2
12-Jawa Timur-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Mojokerto,Jombang,"Jl. Mojopahit 55-57, Mojokerto",61312,08.30 - 14.30,(0321) 322291<br />(0321) 322816 ,(0321) 322719,,y,kantor,https://goo.gl/maps/mEtNjHU2Snq
12-Jawa Timur-ATM,Kantor Cabang,Jombang,Jombang,"Jl. Merdeka No. 133, Jombang",61413,Beroperasi,(0321) 862500-01 <br />(0321) 862337<br />(0321) 874857-58,(0321) 862171,,y,atm,https://goo.gl/maps/iNr7HwpnFMA2
12-Jawa Timur-ATM,Kantor Cabang Pembantu,Mojokerto,Jombang,"Jl. Mojopahit 55-57, Mojokerto",61312,Beroperasi,(0321) 322291<br />(0321) 322816 ,(0321) 322719,,y,atm,https://goo.gl/maps/mEtNjHU2Snq
12-Jabodetabek-Kantor Cabang,Kantor Cabang,Juanda,Juanda,"Jl. Ir. H. Juanda No.15, Kel. Kebon Kelapa, Kec. Gambir",10120,08.30 - 14.30,(021) 22035055       ,(021) 22035056 - 58,,y,kantor,https://goo.gl/maps/5RFdsPMpgFU2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Petojo,Juanda,Jl. A.M Sangaji No. 25 E,10130,08.30 - 14.30,(021) 6324562-63,(021) 6324562<br />(021) 63855187,,y,kantor,https://goo.gl/maps/z22TuFsFDWp
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Roxy Mas ,Juanda,Jl. Kyai Haji Hasyim Ashari Blok D 4 No. 18,10150,08.30 - 14.30,(021) 63858204-07,(021) 63858207,,y,kantor,https://goo.gl/maps/jBaz4bxUAP62
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,K.H.M. Mansyur,Juanda,Jl. KHM Mansyur No. 202 B,11270,08.30 - 14.30,"(021) 6332755<br />
(021) 6332756",(021) 6332759,,y,kantor,https://goo.gl/maps/CajJwDZVMp22
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Sawah Besar ,Juanda,Jl. Sukarjo Wiryopranoto No. 26,10120,08.30 - 14.30,(021) 3853677<br />(021) 231368<br />(021) 2313479<br />(021) 3453336<br />(021) 3453337,(021) 3860602  ,,y,kantor,https://goo.gl/maps/LU87XUft9UC2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pasar Baru,Juanda,"Jl. K. H. Samanhudi 40 A, RT. 006/RW. 02, Pasar Baru, Sawah Besar",10710,08.30 - 14.30,(021) 3500523<br />(021) 3850468<br />(021) 3866520<br />(021) 3510587<br />(021) 3510588,(021) 3510589,,y,kantor,https://goo.gl/maps/pBxDHwSDF162
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Central Park,Juanda,"Central Park Mall, 3rd Floor, Shop Unit No. L3 - 203 A, Jl. Let. Jend. S. Parman Kav. 28, Kel. Tanjung Duren, Kec. Grogol Petamburan, 
Jakarta Barat",11470,08.30 - 14.30,(021) 2920 1015 (Hunting)<br />(021) 2920 1013<br />(021) 2920 1014<br />(021) 2920 1016,(021) 2920 1017,,y,kantor,https://goo.gl/maps/yV9MhzVqvN12
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Mangga Besar,Juanda,Jl. Mangga Besar No. 68 - 68 A,10730,08.30 - 14.30,(021) 6594677<br />(021) 6292150<br />(021) 6292349,(021) 6293113  ,,y,kantor,https://goo.gl/maps/zyz7ybwBEg72
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Pangeran Jayakarta ,Juanda,"Jl. Pangeran Jayakarta No. 126-129 Blok A/5, Kel. Mangga Dua Selatan, Kec. Sawah Besar",10730,08.30 - 14.30,(021) 62201905<br />(021) 62201906<br />(021) 62201907<br />(021) 6016574,(021) 62201904,,y,kantor,https://goo.gl/maps/bDeGcCZZdHR2
12-Jabodetabek-ATM,Kantor Cabang,Juanda,Juanda,"Jl. Ir. H. Juanda No.15, Kel. Kebon Kelapa, Kec. Gambir",10120,Beroperasi,(021) 22035055       ,(021) 22035056 - 58,,y,atm,https://goo.gl/maps/5RFdsPMpgFU2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Petojo,Juanda,Jl. A.M Sangaji No. 25 E,10130,Beroperasi,(021) 6324562-63,(021) 6324562<br />(021) 63855187,,y,atm,https://goo.gl/maps/z22TuFsFDWp
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Roxy Mas ,Juanda,Jl. Kyai Haji Hasyim Ashari Blok D 4 No. 18,10150,Beroperasi,(021) 63858204-07,(021) 63858207,,y,atm,https://goo.gl/maps/jBaz4bxUAP62
12-Jabodetabek-ATM,Kantor Cabang Pembantu,K.H.M. Mansyur,Juanda,Jl. KHM Mansyur No. 202 B,11270,Beroperasi,"(021) 6332755<br />
(021) 6332756",(021) 6332759,,y,atm,https://goo.gl/maps/CajJwDZVMp22
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Sawah Besar ,Juanda,Jl. Sukarjo Wiryopranoto No. 26,10120,Beroperasi,(021) 3853677<br />(021) 231368<br />(021) 2313479<br />(021) 3453336<br />(021) 3453337,(021) 3860602  ,,y,atm,https://goo.gl/maps/LU87XUft9UC2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Pasar Baru,Juanda,"Jl. K. H. Samanhudi 40 A, RT. 006/RW. 02, Pasar Baru, Sawah Besar",10710,Beroperasi,(021) 3500523<br />(021) 3850468<br />(021) 3866520<br />(021) 3510587<br />(021) 3510588,(021) 3510589,,y,atm,https://goo.gl/maps/pBxDHwSDF162
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Central Park,Juanda,"Central Park Mall, 3rd Floor, Shop Unit No. L3 - 203 A, Jl. Let. Jend. S. Parman Kav. 28, Kel. Tanjung Duren, Kec. Grogol Petamburan, 
Jakarta Barat",11470,Beroperasi,(021) 2920 1015 (Hunting)<br />(021) 2920 1013<br />(021) 2920 1014<br />(021) 2920 1016,(021) 2920 1017,,y,atm,https://goo.gl/maps/yV9MhzVqvN12
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Mangga Besar,Juanda,Jl. Mangga Besar No. 68 - 68 A,10730,Beroperasi,(021) 6594677<br />(021) 6292150<br />(021) 6292349,(021) 6293113  ,,y,atm,https://goo.gl/maps/zyz7ybwBEg72
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Pangeran Jayakarta ,Juanda,"Jl. Pangeran Jayakarta No. 126-129 Blok A/5, Kel. Mangga Dua Selatan, Kec. Sawah Besar",10730,Beroperasi,(021) 62201905<br />(021) 62201906<br />(021) 62201907<br />(021) 6016574,(021) 62201904,,y,atm,https://goo.gl/maps/bDeGcCZZdHR2
12-Jabodetabek-Kantor Cabang,Kantor Cabang,Kelapa Gading,Kelapa Gading,"Jl. Raya Barat Boulevard Blok LC 7 No. 1-2, Kelapa Gading Permai",14240,08.30 - 14.30,(021) 4529171                                          ,(021) 4529179,,y,kantor,https://goo.gl/maps/8joErqfMMpS2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,PIK Boulevard,Kelapa Gading,"Graha Indochem, Lantai Basement  & Lantai Dasar, Jl. Pantai Indah Kapuk Boulevard Kav. SSB/E, Kel. Kamal Muara, Kec. Penjaringan, Jakarta Utara, 14470",14470,08.30 - 14.30,(021) 2921 0600,(021) 2921 0601,,y,kantor,https://goo.gl/maps/xPr6HHMvVbC2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kelapa Gading Boulevard,Kelapa Gading,"Jl. Raya Boulevard Blok FW I No. 18, Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",14240,Tutup Sementara,(021) 4531069-70,(021) 45841059  ,,y,kantor,https://goo.gl/maps/zM5nGAjTegD2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tanjung Priok,Kelapa Gading,"Jl. Enggano Blok C No.11-G, Kel. Tanjung Priok, Kec. Tanjung Priok, Jakarta Utara
",0,08.30 - 14.30,(021) 435 1460,(021) 436 6562,,y,kantor,https://goo.gl/maps/anhrRY8wTG22
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Sunter Agung,Kelapa Gading,"Jl. Danau Sunter Agung Utara Blok D 1 No. 6 B, Sunter Agung, Jakarta Utara",14350,08.30 - 14.30,(021) 6451120-21<br />(021) 65833281-82,(021) 6453821 ,,n,kantor,https://goo.gl/maps/PnrW83vFfwQ2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kramat Jati ,Kelapa Gading,"Jl. Raya Bogor No. 1, Unit RA 2, RT.001/RW.01, Kel. Kramat Jati, Kec. Kramat Jati, Jakarta Timur",13830,08.30 - 14.30,(021) 8092417<br />(021) 8011644<br />(021) 80878641,(021) 8013973 ,,y,kantor,https://goo.gl/maps/ibVKqekwUrJ2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Jatinegara,Kelapa Gading,"Jl. Pintu Pasar Utara No. 10-12, Kel. Balimester, Kec. Jatinegara, Jakarta Timur ",13310,Tutup Sementara,(021) 8191918<br />(021) 8193110<br />(021) 8197726<br />(021) 2800178,(021) 8508919,,y,kantor,https://goo.gl/maps/aovmPToBfik
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Bekasi Selatan,Kelapa Gading,"Jl. Achmad Yani Kav. A4 No. 7, Ruko Kalimalang Commercial Centre, Desa Kayuringin, Bekasi",17144,08.30 - 14.30,(021) 889658 91-93<br />(021) 8853521,(021) 8896 5890,,y,kantor,https://goo.gl/maps/2acwYb7Lo332
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Cikarang,Kelapa Gading,"Komplek Ruko Cikarang Commercial Center, Blok B1 No. 23, Jl. Raya Cikarang Cibarusah Km.40 No.1, Kel. Pasir Sari, Kec. Cikarang Selatan, Bekasi",17550,08.30 - 14.30,(021) 89835725<br />(021) 89835726<br />(021) 89835727,(021) 89835724,,y,kantor,https://goo.gl/maps/vsg7VYRVnRU2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Cempaka Mas,Kelapa Gading,"Ruko Mega Grosir Cempaka Mas, Blok D1 No. 3, Jl. Letjen Suprapto, Kel. Sumur Batu, Kec. Kemayoran, Jakarta Pusat ",10640,Tutup Sementara,"(021) 42906693<br />
(021) 42906694<br />
(021) 42889441",(021) 42889440,,y,kantor,https://goo.gl/maps/z1YDNf7H7LD2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Kelapa Gading Boulevard Raya ,Kelapa Gading,"Jl. Boulevard Raya Blok DG No. 2, Kel. Kelapa Gading Timur, Kelapa Gading",14240,08.30 - 14.30,(021) 4527582,(021) 4527583,,y,kantor,https://goo.gl/maps/oL6Rssg6y3Q2
12-Jabodetabek-Kantor Cabang Pembantu,Kantor Cabang Pembantu,Tebet,Kelapa Gading,"Kompleks Rukan Gajah, Jl. Dr. Sahardjo No.111, RT. 001, RW. 01, Persil No.12 & No.13, Kel. Tebet Barat, Kec. Tebet",12810,08.30 - 14.30,"(021) 83798666<br />(021) 83788700
",(021) 83798555,,y,kantor,https://goo.gl/maps/Mw1oyotWGL82
12-Jabodetabek-ATM,Kantor Cabang,Kelapa Gading,Kelapa Gading,"Jl. Raya Barat Boulevard Blok LC 7 No. 1-2, Kelapa Gading Permai",14240,Beroperasi,(021) 4529171                                          ,(021) 4529179,,y,atm,https://goo.gl/maps/8joErqfMMpS2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,PIK Boulevard,Kelapa Gading,"Graha Indochem, Lantai Basement  & Lantai Dasar, Jl. Pantai Indah Kapuk Boulevard Kav. SSB/E, Kel. Kamal Muara, Kec. Penjaringan, Jakarta Utara, 14470",14470,Beroperasi,(021) 2921 0600,(021) 2921 0601,,y,atm,https://goo.gl/maps/xPr6HHMvVbC2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Kelapa Gading Boulevard,Kelapa Gading,"Jl. Raya Boulevard Blok FW I No. 18, Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",14240,Beroperasi,(021) 4531069-70,(021) 45841059  ,,y,atm,https://goo.gl/maps/zM5nGAjTegD2
12-Jabodetabek-ATM,Kantor Cabang Pembantu,Tanjung Priok,Kelapa Gading,"Jl. Enggano Blok C No.11-G, Kel. Tanjung Priok, Kec. Tanjung Priok, Jakarta Utara
",0,Beroperasi,(021) 435 1460,(021) 436 6562,,y,atm,https://goo.gl/maps/anhrRY8wTG22
